PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=97.9 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=94.6 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=96.9 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=95.5 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=71.9 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=89.3 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=95.0 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=98.2 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=95.8 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=94.3 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=97.4 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=86.0 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=42.6 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=86.4 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=99.7 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=116 ms
